f_name,molecule_name,test_type,test_text,comments,opsin_smiles,O_fname
Benchmark_data_01,"(4-Bromo-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",Rf,0.28 (3:7 ethyl acetate/40–60 petroleum ethers),,COc1ccc(C(=O)c2[nH]c3c(-c4ccc(OC)cc4)ccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",IR,"(film)/cm-1 3431, 3258, 3054, 3001, 2958, 2936, 2910, 2836, 1610, 1599, 1572, 1535, 1510,
1492, 1463, 1440, 1418, 1383, 1360, 1315, 1304, 1281, 1242, 1174, 1138, 1110, 1092, 1031, 1022, 1004,
963, 928, 895, 836, 810",,COc1ccc(C(=O)c2[nH]c3c(-c4ccc(OC)cc4)ccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",1H NMR,"(400 MHz, CDCl3) δ 9.30 (s, 1H, H1), 7.57 (d, J = 8.8 Hz, 2H, H10), 7.44 (d, J = 8.9 Hz, 2H, H2), 7.41 (d, J = 7.7 Hz, 1H, H8), 7.19 – 7.11 (m, 3H, H5 and H9), 7.08 (d, J = 8.8 Hz, 2H, H11), 6.66 (d, J = 8.8 Hz, 2H, H6), 6.57 (d, J = 8.9 Hz, 2H, H3), 3.90 (s, 3H, H12), 3.75 (s, 3H, H4) 3.749 (s, 3H, H7)",,COc1ccc(C(=O)c2[nH]c3c(-c4ccc(OC)cc4)ccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",13C NMR,"(100 MHz, CDCl3) δ 188.5, 162.5, 159.7, 159.1, 135.3, 134.1, 133.5, 131.6, 130.0, 129.8, 129.5, 126.5, 125.9, 125.8, 125.5, 125.4, 124.4, 115.3, 115.0, 113.0, 112.5, 55.6, 55.5, 55.3",,COc1ccc(C(=O)c2[nH]c3c(-c4ccc(OC)cc4)ccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",MS,(ESI) found [M+H]+ 542.0957 ([C30H2479BrNO4+H]+ requires 542.0961; error −0.7 ppm),,COc1ccc(C(=O)c2[nH]c3c(-c4ccc(OC)cc4)ccc(Br)c3c2-c2ccc(OC)cc2)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-
methoxyphenyl)methanone",Rf,0.28 (1:4:5 toluene/diethyl ether/40–60 petroleum ethers),,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(Br)ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-
methoxyphenyl)methanone",IR,"(film)/cm-1 2988, 2968, 2958, 2935, 2902, 2837, 1638, 1601, 1597, 1572, 1538, 1511, 1463,
1441, 1422, 1405, 1384, 1356, 1316, 1303, 1285, 1242, 1174, 1165, 1150, 1107, 1086, 1066, 1030, 970,
908, 891, 837, 811",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(Br)ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-
methoxyphenyl)methanone",1H NMR,"(400 MHz, CDCl3) δ 7.60 (d, J = 8.9 Hz, 2H, H6), 7.47 (d, J = 8.6 Hz, 2H, H15), 7.38 (d, J
= 7.7 Hz, 1H, H13), 7.20 (d, J = 8.7 Hz, 2H, H9), 7.02 (d, J = 8.7 Hz, 2H, H14), 6.97 (d, J = 7.8 Hz,
1H, H12), 6.70 (d, J = 8.9 Hz, 2H, H7), 6.68 (d, J = 8.7 Hz, 2H, H10), 6.59 (d, J = 8.6 Hz, 2H, H3), 6.42 (d, J = 8.6 Hz, 2H, H4), 4.00 (t, J = 8.2 Hz, 2H, H1), 3.89 (s, 3H, H16), 3.79 (s, 3H, H8), 3.74 (s, 3H, H11), 3.69 (s, 3H, H5), 2.46 (t, J = 8.2 Hz, 2H, H2)",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(Br)ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-
methoxyphenyl)methanone",13C NMR,"(100 MHz, CDCl3) δ 190.1, 163.7, 159.5, 158.8, 158.2, 137.8, 135.4, 133.6, 132.5, 132.1, 131.0, 130.9, 129.9, 129.6, 128.0, 126.7, 125.7, 125.5, 125.4, 121.0, 114.8, 113.9, 113.7, 113.5, 112.4, 55.6, 55.6, 55.3, 55.2, 47.7, 36.5",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(Br)ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-Bromo-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1H-indol-2-yl)(4-
methoxyphenyl)methanone",MS,(ESI) found [M+H]+ 676.1695 ([C39H3479BrNO5+H]+ requires 676.1693; error 0.3 ppm),,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(Br)ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1Hindol-
2-yl)(4-methoxyphenyl)methanone",Rf,0.31 (3:7 ethyl acetate/40–60 petroleum ethers),,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1Hindol-
2-yl)(4-methoxyphenyl)methanone",IR,"(film)/cm-1 2979, 2937, 2904, 2837, 1734, 1635, 1597, 1573, 1532, 1511, 1500, 1464, 1442,
1422, 1368, 1302, 1241, 1163, 1108, 1030, 1003, 951, 886, 849, 837, 804",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1Hindol-
2-yl)(4-methoxyphenyl)methanone",1H NMR,"(500 MHz, CDCl3) δ 7.53 – 7.46 (m, 4H, H6 and H18), 7.12 (d, J = 7.4 Hz, 1H, H16), 7.04
(d, J = 7.4 Hz, 1H, H17), 7.05 – 7.01 (m, 2H, H19) 6.87 (dd, J = 8.3, 1.1 Hz, 1H, H12), 6.86 (br. s, 2H,
H9) 6.63 (dd, J = 8.4, 7.8 Hz, 1H, H13), 6.59 (d, J = 8.6 Hz, 2H, H3), 6.57 (d, J = 9.1 Hz, 2H, H7),
6.38 (d, J = 8.6 Hz, 2H, H4), 6.31 (dd, J = 7.8, 1.1 Hz, 1H, H14), 6.29 (br. s, 2H, H10), 4.24 – 3.98 (m,
2H, H1), 3.90 (s, 3H, H20), 3.73 (s, 3H, H8), 3.70 (s, 3H, H5), 3.59 (s, 3H, H11), 2.57 – 2.34 (m, 2H, H2), 1.47 (s, 9H, H15).",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1Hindol-
2-yl)(4-methoxyphenyl)methanone",13C NMR,"(126 MHz, CDCl3) δ 190.2, 163.4, 159.4, 158.2, 157.8, 147.3, 145.6, 137.0, 135.7, 133.5, 132.7, 132.6, 131.5, 131.4, 130.8, 130.8, 130.1, 129.7, 129.0, 127.8, 127.7, 127.3, 127.1, 126.1, 125.4, 122.2, 121.6, 120.3, 113.9, 113.7, 113.6, 113.2, 112.6, 81.9, 55.6, 55.5, 55.3, 55.2, 47.6, 36.6, 29.3",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-1-(4-methoxyphenethyl)-3,7-bis(4-methoxyphenyl)-1Hindol-
2-yl)(4-methoxyphenyl)methanone",MS,(ESI) found 791.3323 [M+H]+ ([C49H46N2O8+H]+ requires 791.3327 ; error −0.5 ppm),,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])ccc(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",Rf,0.44 (1:2 ethyl acetate/40–60 petroleum ethers).,,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",IR,"(film)/cm-1 2980,2956, 2937, 2905, 2838, 1633, 1597, 1572, 1533, 1511, 1463, 1443, 1422,
1393, 1368, 1302, 1285, 1242, 1205, 1174, 1153, 1108, 1090, 1031, 1005, 976, 960, 918, 902, 883, 838,
808",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",1H NMR,"(500 MHz, CDCl3) δ 7.49 – 7.39 (m, 2H, H18), 7.45 (d, J = 8.2 Hz, 2H, H6), 7.08 – 6.99 (m, 2H, H19), 6.88 (dd, J = 8.4, 1.2 Hz, 1H, H12), 6.83 (br. s, 2H, H9), 6.82 (s, 1H, H16), 6.63 (d, J = 8.0 Hz, 1H, H13), 6.60 (d, J = 8.7 Hz, 2H, H3), 6.55 (d, J = 9.0 Hz, 2H, H7), 6.47 (d, J = 8.7 Hz, 2H, H4), 6.30 (dd, J = 7.8, 1.2 Hz, 1H, H14), 6.28 (br. s, 2H, H10) 4.13 – 3.75 (m, 2H, H1), 3.88 (s, 3H, H20), 3.74 (s, 3H, H17), 3.71 (s, 3H, H8), 3.69 (s, 3H, H5), 3.59 (s, 3H, H11), 2.58 – 2.36 (s, 1H, H2), 1.47 (s, 9H, H15)",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",13C NMR,"(126 MHz, CDCl3) δ 189.8, 163.2, 159.3, 158.2, 157.8, 154.6, 147.3, 145.5, 137.5, 136.5, 133.5, 132.6, 132.3, 132.3, 131.5, 131.0, 130.4, 129.8, 129.5, 127.9, 127.3, 127.1, 125.8, 122.0, 120.3, 120.3, 114.9, 113.9, 113.7, 113.1, 112.6, 109.5, 81.9, 57.1, 55.4, 55.3, 55.3, 47.0, 36.6, 29.3",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(3-(tert-butoxy)-2-nitrophenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",MS,(APCI) found 821.3432 [M+H]+ ([C50H48N2O9+H]+ requires 821.3433; error −0.1 ppm).,,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4[N+](=O)[O-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(2-azido-3-(tert-butoxy)phenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",Rf,0.17 (1:4 ethyl acetate/40–60 petroleum ethers),,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4N=[N+]=[N-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(2-azido-3-(tert-butoxy)phenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",IR,"(film)/cm-1 3067, 2976, 2935, 2909, 2837, 2117, 1632, 1609, 1597, 1574, 1540, 1512, 1463,
1442, 1421, 1393, 1355, 1340, 1303, 1286, 1244, 1206, 1174, 1154, 1132, 1110, 1092, 1033, 1004, 977,
960, 905, 884, 838, 803",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4N=[N+]=[N-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(2-azido-3-(tert-butoxy)phenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",1H NMR,"(500 MHz, CDCl3) δ 7.54 – 7.48 (m, 4H, H6 and H18), 7.05 (d, J = 8.8 Hz, 2H, H19), 6.83 – 6.79 (m, 4H, H9 and H10), 6.70 (s (br), 2H, H12/13/14/16), 6.59 (d, J = 8.7 Hz, 2H, H3), 6.56 (d, J = 9.0 Hz, 2H, H7), 6.52 (d, J = 8.7 Hz, 2H, H4), 6.29 (s (br), 2H, H12/13/14/16), 4.04 – 3.98 (m, 1H, H1a), 3.92 – 3.86 (m, 1H, H2b), 3.89 (s, 3H, H20), 3.79 (s, 3H, H11), 3.72 (s, 3H, H8), 3.69 (s, 3H, H5), 3.60 (s, 3H, H16), 2.57 – 2.52 (m, 1H, H2b), 2.48 – 2.42 (m, 1H, H2a), 1.36 (s, 9H, H15)",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4N=[N+]=[N-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(2-azido-3-(tert-butoxy)phenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",13C NMR,"(126 MHz, CDCl3) δ 189.9, 163.0, 159.1, 157.9, 157.5, 154.6, 149.3, 136.7, 135.9, 134.1, 133.3, 132.3, 132.3, 132.1, 131.3, 131.1, 130.6, 130.3, 129.6, 127.6, 126.3, 125.2, 123.4, 122.6, 120.7, 120.5, 113.8, 113.8, 113.7, 113.5, 113.0, 112.1, 109.6, 80.3, 57.1, 55.3, 55.3, 55.1, 55.1, 46.8, 36.5, 28.4",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4N=[N+]=[N-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(4-(2-azido-3-(tert-butoxy)phenyl)-6-methoxy-1-(4-methoxyphenethyl)-3,7-bis(4-
methoxyphenyl)-1H-indol-2-yl)(4-methoxyphenyl)methanone",MS,(ESI) found 817.3594 [M+H]+ ([C50H48N4O7+H]+ requires 817.3596; error −0.2 ppm).,,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c(-c4cccc(OC(C)(C)C)c4N=[N+]=[N-])cc(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(7-(tert-butoxy)-5-methoxy-3-(4-methoxyphenethyl)-1,4-bis(4-methoxyphenyl)-3,6-
dihydropyrrolo[2,3-c]carbazol-2-yl)(4-methoxyphenyl)methanone",Rf,0.32 (1:2 ethyl acetate/40–60 petroleum ethers),,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c4c([nH]c5c(OC(C)(C)C)cccc54)c(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(7-(tert-butoxy)-5-methoxy-3-(4-methoxyphenethyl)-1,4-bis(4-methoxyphenyl)-3,6-
dihydropyrrolo[2,3-c]carbazol-2-yl)(4-methoxyphenyl)methanone",IR,"(film)/cm-1 3356, 2975, 2933, 2837, 1599, 1573, 1533, 1512, 1462, 1440, 1420, 1391, 1366,
1352, 1302, 1284, 1244, 1173, 1160, 1108, 1068, 1033, 1007, 971, 928, 904",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c4c([nH]c5c(OC(C)(C)C)cccc54)c(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(7-(tert-butoxy)-5-methoxy-3-(4-methoxyphenethyl)-1,4-bis(4-methoxyphenyl)-3,6-
dihydropyrrolo[2,3-c]carbazol-2-yl)(4-methoxyphenyl)methanone",1H NMR,"(500 MHz, CDCl3) δ 8.42 (s, 1H, H16), 7.60 (d, J = 8.6 Hz, 2H, H18), 7.54 (d, J = 8.8 Hz,
2H, H6), 7.28 (d, J = 8.6 Hz, 2H, H9), 7.08 (d, J = 8.6 Hz, 2H, H19), 6.93 (d, J = 7.8, 1H, H12/14), 6.78
(d, J = 8.6 Hz, 2H, H10), 6.67 – 6.63 (m, 3H, H7 and H13), 6.60 (d, J = 8.7 Hz, 2H, H3), 6.52 (d, J =
8.6 Hz, 2H, H4), 5.95 (d, J = 8.2 Hz, 1H, H12/14), 4.02 – 3.99 (m, 2H, H1), 3.91 (s, 3H, H20), 3.81 (s,
3H, H11), 3.78 (s, 3H, H8), 3.69 (s, 3H, H5), 3.64 (s, 3H, H17), 2.55 – 2.52 (m, 2H, H2), 1.48 (s, 9H,
H15)",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c4c([nH]c5c(OC(C)(C)C)cccc54)c(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(7-(tert-butoxy)-5-methoxy-3-(4-methoxyphenethyl)-1,4-bis(4-methoxyphenyl)-3,6-
dihydropyrrolo[2,3-c]carbazol-2-yl)(4-methoxyphenyl)methanone",13C NMR,"(126 MHz, CDCl3) δ 190.0, 163.1, 159.5, 159.0, 158.2, 142.8, 140.6, 136.4, 134.6, 133.3,
132.4, 131.9, 131.3, 130.5, 129.7, 129.6, 128.7, 127.4, 125.2, 122.3, 119.71, 119.67, 118.8, 118.2, 117.4,
116.0, 114.0, 113.7, 113.4, 113.3, 113.2, 80.1, 61.3, 55.6, 55.5, 55.3, 47.7, 36.8, 29.3",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c4c([nH]c5c(OC(C)(C)C)cccc54)c(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"(7-(tert-butoxy)-5-methoxy-3-(4-methoxyphenethyl)-1,4-bis(4-methoxyphenyl)-3,6-
dihydropyrrolo[2,3-c]carbazol-2-yl)(4-methoxyphenyl)methanone",MS,(ESI) found 789.3531 [M+H]+ ([C50H48N2O7+H]+ requires 789.3534; error −0.4 ppm),,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c4c([nH]c5c(OC(C)(C)C)cccc54)c(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"5-methoxy-2-(4-methoxybenzoyl)-3-(4-methoxyphenethyl)-1,4-bis(4-methoxyphenyl)-3,6-
dihydropyrrolo[2,3-c]carbazol-7-yl (2,2,2-trichloroethyl) sulfate",Rf,0.35 (1:2 ethyl acetate/40–60 petroleum ethers),,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c4c([nH]c5c(OS(=O)(=O)OCC(Cl)(Cl)Cl)cccc54)c(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
Benchmark_data_01,"5-methoxy-2-(4-methoxybenzoyl)-3-(4-methoxyphenethyl)-1,4-bis(4-methoxyphenyl)-3,6-
dihydropyrrolo[2,3-c]carbazol-7-yl (2,2,2-trichloroethyl) sulfate",IR,"(film)/cm-1 3005, 2956, 2934, 2837, 1609, 1598, 1572, 1535, 1512, 1464, 1443, 1419, 1366, 1351, 1313, 1302, 1286, 1245, 1195, 1174, 1160, 1108, 1069, 1032, 1008, 998, 967, 927, 887, 869, 850, 838, 815",,COc1ccc(CCn2c(C(=O)c3ccc(OC)cc3)c(-c3ccc(OC)cc3)c3c4c([nH]c5c(OS(=O)(=O)OCC(Cl)(Cl)Cl)cccc54)c(OC)c(-c4ccc(OC)cc4)c32)cc1,000007_Thesis_000010
